UTC date = 2022-05-20T23:58:19Z
BODY               X           Y           Z
Sun         0.000000    0.000000    0.000000
Mercury    -0.242606   -0.390741   -0.009678
Venus       0.557331   -0.467022   -0.038569
Earth      -0.511473   -0.873200    0.000046
Moon       -0.510019   -0.875175   -0.000172
Mars        1.002420   -0.959655   -0.044699
Jupiter     4.914000   -0.724291   -0.106917
Saturn      7.452470   -6.498820   -0.184111
Uranus     14.011528   13.850851   -0.130035
Neptune    29.688506   -3.649133   -0.607640
Pluto      15.531636  -30.814257   -1.193191
