UTC date = 2018-11-30T17:55:07Z
BODY           RA      DEC       AZ      ALT
Sun         16.43   -21.68   180.91    22.72
Moon        11.30     7.81   266.73    14.07
Mercury     15.92   -18.41   189.05    25.50
Venus       13.81    -9.79   224.05    23.85
Mars        22.74    -9.25    93.82    -8.52
Jupiter     16.19   -20.43   184.62    23.84
Saturn      18.54   -22.70   150.51    16.25
Uranus       1.80    10.57    43.72   -22.60
Neptune     23.01    -7.41    89.63   -10.05
Pluto       19.40   -22.09   139.25    11.68
