  Year    TDT-UT1    error     LOD      error
             (s)      (s)      (ms)     (ms)
1657.000     44       12        -4       41
1657.500     43       15        -5       48
1658.000     43       10        -6       58
1658.500     41       10        -6       38
1659.000     40       12        -6       37
1659.500     39       14        -5       45
1660.000     38       15        -4       53
1660.500     37       16        -3       59
1661.000     37       16        -2       62
1661.500     36       16        -1       63
1662.000     36       15         1       62
1662.500     36       15         2       60
1663.000     37        9         2       59
1663.500     37        9         0       33
1664.000     38        7        -1       35
1664.500     37        7        -3       27
1665.000     36        9        -4       28
1665.500     36       11        -4       35
1666.000     35       13        -3       43
1666.500     35       14        -3       49
1667.000     34       15        -3       54
1667.500     33       15        -3       58
1668.000     33       15        -3       60
1668.500     32       15        -3       59
1669.000     32       14        -3       58
1669.500     31       13        -3       55
1670.000     31       12        -3       51
1670.500     30       11        -3       47
1671.000     30        6        -2       44
1671.500     29        7        -1       24
1672.000     29        6        -1       29
1672.500     29       11        -1       22
1673.000     29       10        -1       44
1673.500     29       11        -2       37
1674.000     28        9        -3       44
1674.500     28        9        -3       36
1675.000     27       10        -3       33
1675.500     27       12        -3       40
1676.000     26        8        -3       47
1676.500     26        9        -2       31
1677.000     25       11        -1       34
1677.500     25       12         0       41
1678.000     25        8         1       46
1678.500     26       11         1       30
1679.000     26        9         0       42
1679.500     26       11        -1       34
1680.000     26        9        -2       41
1680.500     25        9        -2       33
1681.000     25       11        -2       36
1681.500     25       12        -1       42
1682.000     24        8        -1       48
1682.500     24       10        -1       31
1683.000     24        8        -1       40
1683.500     24       10        -1       32
1684.000     24        8         0       40
1684.500     24       11         0       32
1685.000     24        8         0       41
1685.500     24       10         0       33
1686.000     24        8        -1       40
1686.500     24        9        -1       32
1687.000     23        9        -2       33
1687.500     23       11        -1       36
1688.000     23       12        -1       41
1688.500     23       13        -1       46
1689.000     22       14        -1       51
1689.500     22       15        -1       56
1690.000     22       16        -1       60
1690.500     22       17        -1       64
1691.000     22       18        -1       67
1691.500     21       18        -1       69
1692.000     21       19        -1       71
1692.500     21       19        -1       73
1693.000     21       19        -1       74
1693.500     21       19        -1       74
1694.000     21       19        -1       74
1694.500     21       18         0       73
1695.000     21       18         0       71
1695.500     20       17         0       69
1696.000     20       17         0       67
1696.500     20       16         0       65
1697.000     20       15         0       62
1697.500     20       15         0       59
1698.000     20       14         0       57
1698.500     20       14         0       55
1699.000     20        8         0       55
1699.500     20        8         0       32
1700.000     21       10         0       33
1700.500     21       12         0       38
1701.000     21        8        -1       45
1701.500     20        7        -1       31
1702.000     20        8        -1       27
1702.500     20       10        -1       33
1703.000     20       11        -1       38
1703.500     20       11        -1       41
1704.000     19       11        -1       42
1704.500     19       11        -1       43
1705.000     19        6         0       43
1705.500     19        7         1       24
1706.000     19        6         1       28
1706.500     20        9         0       22
1707.000     20        7         0       34
1707.500     20        7         0       28
1708.000     20        8         0       27
1708.500     19       10         1       32
1709.000     20        6         1       37
1709.500     20        7         1       24
1710.000     20        6         1       28
1710.500     20        8         1       23
1711.000     20        6         1       30
1711.500     20        8         1       24
1712.000     21        6         1       30
1712.500     21        8         0       24
