*******************************************************************************
Ephemeris / WWW_USER Fri Apr 12 18:13:43 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2018-Dec-02 00:00:00.0000 UT      
Stop  time      : A.D. 2018-Dec-04 00:00:00.0000 UT      
Step-size       : 5 minutes
*******************************************************************************
Target pole/equ : IAU_MOON                        {East-longitude positive}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 150.000000,-30.000000,0.0100000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 150.000000,5528.26530,-3170.379 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: YES (Earth refraction model)
RA format       : DEG
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.190411.p190703                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-APR-11. PREDICTS-> 2019-JUL-02
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
********************************************************************************
 Date__(UT)__HR:MN     R.A._(ICRF/J2K)_DEC R.A._(r-appar)_DEC. Azi_(r-appr)_Elev
********************************************************************************
$$SOE
 2018-Dec-02 00:00 *m  185.98865   2.88277 186.23608   2.76737 308.6575  43.4962
 2018-Dec-02 00:05 *m  186.01816   2.86477 186.26615   2.74921 307.4182  42.6750
 2018-Dec-02 00:10 *m  186.04790   2.84677 186.29646   2.73102 306.2129  41.8401
 2018-Dec-02 00:15 *m  186.07787   2.82876 186.32703   2.71281 305.0401  40.9922
 2018-Dec-02 00:20 *m  186.10808   2.81074 186.35785   2.69458 303.8987  40.1320
 2018-Dec-02 00:25 *m  186.13853   2.79272 186.38894   2.67633 302.7874  39.2602
 2018-Dec-02 00:30 *m  186.16923   2.77469 186.42031   2.65806 301.7048  38.3776
 2018-Dec-02 00:35 *m  186.20018   2.75665 186.45195   2.63976 300.6498  37.4846
 2018-Dec-02 00:40 *m  186.23140   2.73860 186.48389   2.62144 299.6211  36.5818
 2018-Dec-02 00:45 *m  186.26289   2.72055 186.51613   2.60310 298.6176  35.6699
 2018-Dec-02 00:50 *m  186.29465   2.70250 186.54867   2.58473 297.6382  34.7493
 2018-Dec-02 00:55 *m  186.32669   2.68444 186.58153   2.56634 296.6818  33.8205
 2018-Dec-02 01:00 *m  186.35901   2.66638 186.61471   2.54792 295.7473  32.8840
 2018-Dec-02 01:05 *m  186.39162   2.64831 186.64823   2.52946 294.8336  31.9402
 2018-Dec-02 01:10 *m  186.42453   2.63025 186.68209   2.51098 293.9398  30.9896
 2018-Dec-02 01:15 *m  186.45774   2.61218 186.71630   2.49246 293.0650  30.0326
 2018-Dec-02 01:20 *m  186.49125   2.59411 186.75087   2.47391 292.2081  29.0695
 2018-Dec-02 01:25 *m  186.52507   2.57603 186.78582   2.45532 291.3684  28.1007
 2018-Dec-02 01:30 *m  186.55920   2.55796 186.82116   2.43668 290.5449  27.1265
 2018-Dec-02 01:35 *m  186.59365   2.53989 186.85689   2.41800 289.7369  26.1473
 2018-Dec-02 01:40 *m  186.62842   2.52181 186.89303   2.39926 288.9436  25.1634
 2018-Dec-02 01:45 *m  186.66352   2.50374 186.92960   2.38047 288.1641  24.1750
 2018-Dec-02 01:50 *m  186.69895   2.48567 186.96662   2.36161 287.3978  23.1826
 2018-Dec-02 01:55 *m  186.73471   2.46760 187.00410   2.34268 286.6440  22.1862
 2018-Dec-02 02:00 *m  186.77081   2.44954 187.04206   2.32367 285.9019  21.1863
 2018-Dec-02 02:05 *m  186.80725   2.43148 187.08053   2.30456 285.1710  20.1831
 2018-Dec-02 02:10 *m  186.84403   2.41342 187.11954   2.28534 284.4505  19.1768
 2018-Dec-02 02:15 *m  186.88115   2.39536 187.15912   2.26600 283.7399  18.1678
 2018-Dec-02 02:20 *m  186.91863   2.37731 187.19931   2.24651 283.0385  17.1561
 2018-Dec-02 02:25 *m  186.95646   2.35926 187.24016   2.22684 282.3459  16.1422
 2018-Dec-02 02:30 *m  186.99464   2.34122 187.28174   2.20696 281.6613  15.1262
 2018-Dec-02 02:35 *m  187.03318   2.32318 187.32411   2.18684 280.9844  14.1084
 2018-Dec-02 02:40 *m  187.07207   2.30515 187.36738   2.16641 280.3146  13.0891
 2018-Dec-02 02:45 *m  187.11133   2.28713 187.41167   2.14561 279.6513  12.0687
 2018-Dec-02 02:50 *m  187.15095   2.26911 187.45714   2.12435 278.9941  11.0474
 2018-Dec-02 02:55 *m  187.19094   2.25110 187.50401   2.10249 278.3425  10.0257
