    tt    m             px                      py                      pz                      vx                      vy                      vz
 -5000.0  0   1.1350070233562767e-03 -2.3469490469952767e-03 -1.0991720244025746e-03  9.1472093587637148e-03  3.5385336966354511e-03  1.8341520213140572e-03
 -5000.0  1  -3.5375760294605739e-03 -2.4722051909331555e-03 -1.2644330645984673e-03  4.9444618898500554e-03 -5.5941912515236796e-03 -2.6325781717240083e-03
 -5000.0  2   2.6447504576940830e-04 -6.4554220546226906e-03 -3.0649138061931611e-03  6.2841050301079967e-03  1.7501429617596063e-04  1.5663498739727547e-04
 -5000.0  3  -9.2192472384501692e-03 -7.7537964921361056e-03 -3.8064191415357667e-03  3.2503535731760488e-03 -3.1114069246734257e-03 -1.4291408177270399e-03
 -4900.0  0  -1.5186073534593195e-03  2.1463277383384038e-03  9.9750700698363103e-04 -8.4652655318582393e-03 -4.8174786385830632e-03 -2.4304908204840700e-03
 -4900.0  1   5.4825531340792612e-04 -3.9725728527615009e-03 -1.9210837427605641e-03  7.9479899947791904e-03  8.0151221010213035e-04  5.3404356080820304e-04
 -4900.0  2  -7.7428124849558526e-04 -6.4179510324178374e-03 -3.0595065307231478e-03  6.2490843099024971e-03 -6.4492670272974168e-04 -2.3368354010989961e-04
 -4900.0  3  -9.6437959223371842e-03 -7.3270186304487863e-03 -3.6097891354846014e-03  3.0721361164138105e-03 -3.2533814941731825e-03 -1.4989363238825952e-03
 -4800.0  0   1.8395991500941369e-03 -1.9305268665088012e-03 -8.8987507618784730e-04  7.5724220260596602e-03  5.9068962884074845e-03  2.9337830160287588e-03
 -4800.0  1   4.0817688229727372e-03 -1.7833132609675912e-03 -7.9027944784731713e-04  3.4178825144306813e-03  6.3509370391556736e-03  3.1494165623158197e-03
 -4800.0  2  -1.7915701750902996e-03 -6.2413524204236424e-03 -2.9877278601451013e-03  6.0904232949064016e-03 -1.4496054278003367e-03 -6.1825638270052293e-04
 -4800.0  3  -1.0043660531353507e-02 -6.8820519237285790e-03 -3.4041482761369662e-03  2.8877650216587577e-03 -3.3861840774478385e-03 -1.5644228912304358e-03
 -4700.0  0  -2.1604640452414950e-03  1.6615460129946254e-03  7.5700099671927902e-04 -6.4209738113453797e-03 -6.8576868798561081e-03 -3.3673809734162115e-03
