*******************************************************************************
Ephemeris / WWW_USER Sat Apr 27 21:59:22 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup341}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2015-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2025-Jan-01 00:00:00.0000 UT      
Step-size       : 2880 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {West-longitude positive}
Target radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: YES (Earth refraction model)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.190426.p190718                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-APR-26. PREDICTS-> 2019-JUL-17
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************
 Date__(UT)__HR:MN      APmag  S-brt            delta      deldot    S-T-O
**************************************************************************
$$SOE
 2015-Jan-01 00:00      -2.45   5.47 4.54441270571725 -17.9285164   7.0443
 2015-Jan-03 00:00      -2.46   5.47 4.52416219711983 -17.1300482   6.7332
 2015-Jan-05 00:00      -2.47   5.47 4.50484861781213 -16.3064133   6.4110
 2015-Jan-07 00:00      -2.48   5.47 4.48650284534316 -15.4554904   6.0782
 2015-Jan-09 00:00      -2.49   5.47 4.46915717588344 -14.5741876   5.7352
 2015-Jan-11 00:00      -2.50   5.47 4.45284424608337 -13.6676997   5.3823
 2015-Jan-13 00:00      -2.51   5.47 4.43759262894653 -12.7351545   5.0201
 2015-Jan-15 00:00      -2.52   5.46 4.42343212920923 -11.7771861   4.6491
 2015-Jan-17 00:00      -2.52   5.46 4.41039409751482 -10.7931379   4.2699
 2015-Jan-19 00:00      -2.53   5.46 4.39850467826160  -9.7888523   3.8831
 2015-Jan-21 00:00      -2.54   5.46 4.38778826245036  -8.7640278   3.4893
 2015-Jan-23 00:00      -2.55   5.46 4.37826746691823  -7.7188970   3.0894
 2015-Jan-25 00:00      -2.55   5.46 4.36996228594772  -6.6609195   2.6842
 2015-Jan-27 00:00      -2.56   5.46 4.36288433626722  -5.5928515   2.2744
 2015-Jan-29 00:00      -2.56   5.45 4.35704397443987  -4.5169093   1.8610
 2015-Jan-31 00:00      -2.57   5.45 4.35245185507836  -3.4322237   1.4453
 2015-Feb-02 00:00      -2.57   5.45 4.34911392600170  -2.3456391   1.0291
 2015-Feb-04 00:00      -2.57   5.45 4.34703376941241  -1.2560495   0.6173
 2015-Feb-06 00:00      -2.57   5.45 4.34621467293733  -0.1621592   0.2445
 2015-Feb-08 00:00      -2.57   5.45 4.34666070441341   0.9324196   0.3119
 2015-Feb-10 00:00      -2.57   5.45 4.34836964175375   2.0256374   0.7023
 2015-Feb-12 00:00      -2.57   5.45 4.35133922956956   3.1162095   1.1157
 2015-Feb-14 00:00      -2.56   5.45 4.35556788596212   4.2058488   1.5317
 2015-Feb-16 00:00      -2.56   5.46 4.36105033569415   5.2867956   1.9466
 2015-Feb-18 00:00      -2.55   5.46 4.36777695764987   6.3585469   2.3587
 2015-Feb-20 00:00      -2.54   5.46 4.37573556829443   7.4194299   2.7669
 2015-Feb-22 00:00      -2.54   5.46 4.38491235476292   8.4647876   3.1701
 2015-Feb-24 00:00      -2.53   5.47 4.39528458704547   9.4898042   3.5677
 2015-Feb-26 00:00      -2.52   5.47 4.40682795425570  10.4931434   3.9588
 2015-Feb-28 00:00      -2.51   5.47 4.41951879439844  11.4776360   4.3428
 2015-Mar-02 00:00      -2.51   5.47 4.43333222740388  12.4369474   4.7191
 2015-Mar-04 00:00      -2.50   5.47 4.44824017924138  13.3723117   5.0871
 2015-Mar-06 00:00      -2.49   5.47 4.46421509585052  14.2845510   5.4464
 2015-Mar-08 00:00      -2.48   5.48 4.48123212900505  15.1740264   5.7964
 2015-Mar-10 00:00      -2.47   5.48 4.49926131987596  16.0372669   6.1367
 2015-Mar-12 00:00      -2.45   5.48 4.51827247929250  16.8742424   6.4668
 2015-Mar-14 00:00      -2.44   5.48 4.53823620658870  17.6879749   6.7865
 2015-Mar-16 00:00      -2.43   5.48 4.55912290281986  18.4722374   7.0952
 2015-Mar-18 00:00      -2.42   5.48 4.58089813606001  19.2265187   7.3926
