*******************************************************************************
Ephemeris / WWW_USER Sun Apr 28 18:31:04 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mercury (199)                   {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2010-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2030-Jan-01 00:00:00.0000 UT      
Step-size       : 2880 minutes
*******************************************************************************
Target pole/equ : IAU_MERCURY                     {West-longitude positive}
Target radii    : 2439.7 x 2439.7 x 2439.7 km     {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: YES (Earth refraction model)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.190426.p190718                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-APR-26. PREDICTS-> 2019-JUL-17
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
******************************************************************************************************
 Date__(UT)__HR:MN      APmag  S-brt               r        rdot            delta      deldot    S-T-O
******************************************************************************************************
$$SOE
 2010-Jan-01 00:00       2.87   4.50  0.307579572985   0.5532969 0.70275256977134 -23.3932420 151.0813
 2010-Jan-03 00:00       4.48   4.81  0.309489377764   2.7353636 0.68136744073301 -13.4312906 164.7004
 2010-Jan-05 00:00       n.a.   n.a.  0.313832578134   4.7459401 0.67197539088050  -2.8163245 171.2290
 2010-Jan-07 00:00       4.07   4.87  0.320346267804   6.4795651 0.67467389913489   7.3206883 161.1842
 2010-Jan-09 00:00       2.68   4.55  0.328669850366   7.8733951 0.68833975006301  16.0524984 148.3678
 2010-Jan-11 00:00       1.67   4.14  0.338395136878   8.9067403 0.71101877214019  22.8857269 136.1766
 2010-Jan-13 00:00       0.97   3.82  0.349110214028   9.5917617 0.74044681314716  27.7593084 125.1019
 2010-Jan-15 00:00       0.51   3.58  0.360430305561   9.9611932 0.77446984546987  30.8947930 115.2256
 2010-Jan-17 00:00       0.22   3.43  0.372014931540  10.0573959 0.81127135044746  32.6307568 106.4900
 2010-Jan-19 00:00       0.03   3.33  0.383574181168   9.9245601 0.84943654739410  33.3109117  98.7822
 2010-Jan-21 00:00      -0.07   3.27  0.394867873942   9.6040857 0.88792273164189  33.2309118  91.9729
 2010-Jan-23 00:00      -0.13   3.23  0.405700875223   9.1323834 0.92599260867516  32.6236309  85.9359
 2010-Jan-25 00:00      -0.16   3.21  0.415916849997   8.5402296 0.96314300586932  31.6631434  80.5565
 2010-Jan-27 00:00      -0.17   3.19  0.425391825837   7.8529836 0.99904272684903  30.4751190  75.7340
 2010-Jan-29 00:00      -0.17   3.18  0.434028273696   7.0912077 1.03348303967793  29.1477116  71.3817
 2010-Jan-31 00:00      -0.17   3.17  0.441749999850   6.2714199 1.06633996942630  27.7410179  67.4252
 2010-Feb-02 00:00      -0.16   3.16  0.448497910490   5.4068372 1.09754666847768  26.2951167  63.8009
 2010-Feb-04 00:00      -0.16   3.14  0.454226596657   4.5080472 1.12707421102610  24.8365044  60.4539
 2010-Feb-06 00:00      -0.16   3.12  0.458901642072   3.5835882 1.15491853811078  23.3822615  57.3366
 2010-Feb-08 00:00      -0.16   3.10  0.462497547996   2.6404396 1.18109105767542  21.9423972  54.4072
 2010-Feb-10 00:00      -0.17   3.07  0.464996178605   1.6844354 1.20561143013572  20.5214270  51.6285
 2010-Feb-12 00:00      -0.19   3.04  0.466385647334   0.7206174 1.22850197130682  19.1196152  48.9668
 2010-Feb-14 00:00      -0.21   3.00  0.466659583822  -0.2464558 1.24978330352721  17.7338879  46.3911
 2010-Feb-16 00:00      -0.24   2.96  0.465816740441  -1.2124271 1.26947086139649  16.3584046  43.8722
 2010-Feb-18 00:00      -0.28   2.90  0.463860915996  -2.1728709 1.28757188544221  14.9848446  41.3822
 2010-Feb-20 00:00      -0.33   2.84  0.460801192237  -3.1230183 1.30408262119855  13.6024899  38.8937
 2010-Feb-22 00:00      -0.39   2.78  0.456652496774  -4.0574643 1.31898552411786  12.1981559  36.3791
 2010-Feb-24 00:00      -0.46   2.70  0.451436524312  -4.9698375 1.33224628940845  10.7559473  33.8104
 2010-Feb-26 00:00      -0.55   2.61  0.445183067103  -5.8524186 1.34381046210075   9.2567664  31.1583
 2010-Feb-28 00:00      -0.65   2.51  0.437931825027  -6.6956890 1.35359935673993   7.6776532  28.3923
 2010-Mar-02 00:00      -0.76   2.39  0.429734784186  -7.4877957 1.36150532799757   5.9914257  25.4799
