*******************************************************************************
Ephemeris / WWW_USER Sun Apr 28 18:30:49 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2010-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2030-Jan-01 00:00:00.0000 UT      
Step-size       : 2880 minutes
*******************************************************************************
Target pole/equ : IAU_MOON                        {East-longitude positive}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: YES (Earth refraction model)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.190426.p190718                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-APR-26. PREDICTS-> 2019-JUL-17
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
******************************************************************************************************
 Date__(UT)__HR:MN      APmag  S-brt               r        rdot            delta      deldot    S-T-O
******************************************************************************************************
$$SOE
 2010-Jan-01 00:00     -12.82   3.41  0.985702102038  -0.0895975 0.00240220510392  -0.0185858   2.8785
 2010-Jan-03 00:00     -12.09   4.06  0.985354033317  -0.5020918 0.00240539829689   0.0232581  30.8562
 2010-Jan-05 00:00     -11.30   4.60  0.984588706004  -0.7958530 0.00245077485445   0.0521334  58.2833
 2010-Jan-07 00:00     -10.41   5.08  0.983585977154  -0.9087453 0.00251797517240   0.0610453  84.2880
 2010-Jan-09 00:00      -9.36   5.55  0.982558855055  -0.8421476 0.00258588233523   0.0547358 108.8054
 2010-Jan-11 00:00      -8.04   6.03  0.981695990986  -0.6315986 0.00264191269928   0.0418216 132.1525
 2010-Jan-13 00:00      -6.35   6.34  0.981137380757  -0.3233395 0.00268230472365   0.0282524 154.7070
 2010-Jan-15 00:00      -4.15   4.09  0.980968048105   0.0343865 0.00270744191180   0.0152488 176.7431
 2010-Jan-17 00:00      -5.72   6.28  0.981217650112   0.3943975 0.00271692408680   0.0006569 161.4738
 2010-Jan-19 00:00      -7.49   6.17  0.981863257641   0.7132271 0.00270736431034  -0.0179793 139.7898
 2010-Jan-21 00:00      -8.84   5.73  0.982834599424   0.9523186 0.00267388226219  -0.0403611 117.8467
 2010-Jan-23 00:00      -9.92   5.28  0.984018953255   1.0762568 0.00261446135112  -0.0616883  95.1594
 2010-Jan-25 00:00     -10.83   4.84  0.985263522774   1.0512539 0.00253522145719  -0.0729274  71.1492
 2010-Jan-27 00:00     -11.65   4.36  0.986380509711   0.8533075 0.00245378174341  -0.0640822  45.3609
 2010-Jan-29 00:00     -12.44   3.78  0.987172279379   0.4953717 0.00239649291455  -0.0315352  17.8633
 2010-Jan-31 00:00     -12.63   3.61  0.987493400435   0.0574725 0.00238625193483   0.0144393  10.8237
 2010-Feb-02 00:00     -11.86   4.23  0.987323630185  -0.3332697 0.00242708754447   0.0534746  38.7536
 2010-Feb-04 00:00     -11.04   4.74  0.986781153710  -0.5768631 0.00250124272631   0.0708867  65.2531
 2010-Feb-06 00:00     -10.14   5.19  0.986060016828  -0.6427610 0.00258229040161   0.0664131  89.9458
 2010-Feb-08 00:00      -9.09   5.64  0.985357767816  -0.5493519 0.00264962364774   0.0488744 113.1391
 2010-Feb-10 00:00      -7.79   6.10  0.984838747725  -0.3317341 0.00269387963283   0.0277929 135.3622
 2010-Feb-12 00:00      -6.12   6.35  0.984624674729  -0.0277438 0.00271473074915   0.0088985 157.0659
 2010-Feb-14 00:00      -4.12   4.03  0.984792717321   0.3230449 0.00271574313388  -0.0067107 176.8737
 2010-Feb-16 00:00      -5.95   6.33  0.985372594946   0.6779682 0.00269970946701  -0.0210765 159.0131
 2010-Feb-18 00:00      -7.70   6.13  0.986343219163   0.9920102 0.00266661236446  -0.0364790 136.9284
 2010-Feb-20 00:00      -9.06   5.67  0.987631046123   1.2196275 0.00261518633735  -0.0523494 114.1127
 2010-Feb-22 00:00     -10.15   5.20  0.989110271251   1.3161618 0.00254742649369  -0.0635067  90.2143
 2010-Feb-24 00:00     -11.07   4.74  0.990605915372   1.2427315 0.00247365926963  -0.0611977  64.8411
 2010-Feb-26 00:00     -11.88   4.23  0.991909353414   0.9845959 0.00241408293381  -0.0383429  37.9023
 2010-Feb-28 00:00     -12.62   3.61  0.992824443920   0.5833252 0.00239203612755   0.0020889  10.3340
 2010-Mar-02 00:00     -12.37   3.82  0.993242874290   0.1460117 0.00241956708957   0.0441435  18.9355
