*******************************************************************************
Ephemeris / WWW_USER Sun Apr 28 18:33:03 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Saturn (699)                    {source: sat409l_merged_DE437}
Center body name: Earth (399)                     {source: sat409l_merged_DE437}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2010-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2030-Jan-01 00:00:00.0000 UT      
Step-size       : 2880 minutes
*******************************************************************************
Target pole/equ : IAU_SATURN                      {West-longitude positive}
Target radii    : 60268.0 x 60268.0 x 54364.0 km  {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: sat409l_merged_DE437
Rel. light bend : Sun, EARTH                      {source: sat409l_merged_DE437
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: YES (Earth refraction model)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.190426.p190718                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-APR-26. PREDICTS-> 2019-JUL-17
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
******************************************************************************************************
 Date__(UT)__HR:MN      APmag  S-brt               r        rdot            delta      deldot    S-T-O
******************************************************************************************************
$$SOE
 2010-Jan-01 00:00       1.11   7.10  9.475089008308   0.5205956 9.32261363934371 -28.5649863   5.9270
 2010-Jan-03 00:00       1.10   7.10  9.475690980768   0.5216121 9.28968450325070 -28.4453163   5.9016
 2010-Jan-05 00:00       1.09   7.10  9.476294066304   0.5224194 9.25691234029408 -28.2930299   5.8691
 2010-Jan-07 00:00       1.08   7.10  9.476897599301   0.5224191 9.22433538299651 -28.1070029   5.8293
 2010-Jan-09 00:00       1.07   7.09  9.477500768770   0.5217279 9.19199367673332 -27.8855432   5.7824
 2010-Jan-11 00:00       1.07   7.09  9.478102860228   0.5206673 9.15992886101946 -27.6273393   5.7281
 2010-Jan-13 00:00       1.05   7.09  9.478703945376   0.5201408 9.12818421058169 -27.3309716   5.6666
 2010-Jan-15 00:00       1.04   7.09  9.479304781993   0.5202110 9.09680408093911 -26.9962269   5.5977
 2010-Jan-17 00:00       1.03   7.08  9.479906147168   0.5209955 9.06583277994653 -26.6232194   5.5216
 2010-Jan-19 00:00       1.02   7.08  9.480508632090   0.5220145 9.03531399424211 -26.2129592   5.4382
 2010-Jan-21 00:00       1.01   7.08  9.481112107080   0.5227483 9.00528989745396 -25.7668017   5.3477
 2010-Jan-23 00:00       1.00   7.07  9.481716112660   0.5227898 8.97580125247113 -25.2861855   5.2500
 2010-Jan-25 00:00       0.99   7.07  9.482319657628   0.5219987 8.94688691986030 -24.7725994   5.1453
 2010-Jan-27 00:00       0.98   7.06  9.482922140334   0.5210800 8.91858443834731 -24.2269273   5.0336
 2010-Jan-29 00:00       0.97   7.06  9.483523621440   0.5204176 8.89093014954285 -23.6503590   4.9152
 2010-Jan-31 00:00       0.95   7.05  9.484124833718   0.5206057 8.86395957481297 -23.0431441   4.7899
 2010-Feb-02 00:00       0.94   7.05  9.484726645774   0.5213498 8.83770813217042 -22.4051471   4.6581
 2010-Feb-04 00:00       0.93   7.04  9.485329472336   0.5224044 8.81221178853473 -21.7354790   4.5197
 2010-Feb-06 00:00       0.92   7.04  9.485933393370   0.5231127 8.78750739597355 -21.0339833   4.3750
 2010-Feb-08 00:00       0.90   7.03  9.486537725270   0.5230836 8.76363148645901 -20.3010883   4.2240
 2010-Feb-10 00:00       0.89   7.02  9.487141656874   0.5223958 8.74062003732435 -19.5373657   4.0670
 2010-Feb-12 00:00       0.88   7.02  9.487744448911   0.5213334 8.71850810229597 -18.7435882   3.9040
 2010-Feb-14 00:00       0.87   7.01  9.488346280553   0.5207828 8.69733028845368 -17.9201534   3.7354
 2010-Feb-16 00:00       0.85   7.00  9.488947866142   0.5208609 8.67712010880582 -17.0684942   3.5614
 2010-Feb-18 00:00       0.84   6.99  9.489549998537   0.5217232 8.65790919929501 -16.1902767   3.3822
 2010-Feb-20 00:00       0.83   6.99  9.490153227023   0.5226765 8.63972672818335 -15.2882377   3.1980
 2010-Feb-22 00:00       0.82   6.98  9.490757447622   0.5233789 8.62259871338689 -14.3649763   3.0092
 2010-Feb-24 00:00       0.80   6.97  9.491362167689   0.5233832 8.60654810552887 -13.4233025   2.8160
 2010-Feb-26 00:00       0.79   6.96  9.491966354556   0.5226184 8.59159460862539 -12.4655409   2.6189
 2010-Feb-28 00:00       0.78   6.95  9.492569483993   0.5216435 8.57775620422835 -11.4926262   2.4180
 2010-Mar-02 00:00       0.77   6.94  9.493171611312   0.5209760 8.56505040420670 -10.5043489   2.2137
 2010-Mar-04 00:00       0.76   6.94  9.493773513054   0.5212389 8.55349559313255  -9.4996799   2.0064
 2010-Mar-06 00:00       0.74   6.93  9.494375985777   0.5219766 8.54311050472642  -8.4790877   1.7965
 2010-Mar-08 00:00       0.73   6.92  9.494979503605   0.5230102 8.53391300975881  -7.4436670   1.5844
 2010-Mar-10 00:00       0.72   6.91  9.495584095643   0.5236550 8.52591906120868  -6.3956758   1.3708
 2010-Mar-12 00:00       0.71   6.90  9.496189051128   0.5236792 8.51914183264083  -5.3372580   1.1566
 2010-Mar-14 00:00       0.70   6.89  9.496793562798   0.5229159 8.51359209194773  -4.2706641   0.9430
 2010-Mar-16 00:00       0.69   6.88  9.497396914923   0.5218353 8.50927818517198  -3.1976936   0.7325
 2010-Mar-18 00:00       0.68   6.87  9.497999344814   0.5213064 8.50620667874366  -2.1199384   0.5310
 2010-Mar-20 00:00       0.67   6.86  9.498601500699   0.5214417 8.50438160275705  -1.0399182   0.3564
 2010-Mar-22 00:00       0.67   6.86  9.499204242042   0.5222861 8.50380411718196   0.0397354   0.2694
 2010-Mar-24 00:00       0.67   6.86  9.499808065068   0.5231709 8.50447198342353   1.1158109   0.3449
 2010-Mar-26 00:00       0.68   6.87  9.500412874310   0.5239168 8.50637963978071   2.1860006   0.5156
 2010-Mar-28 00:00       0.69   6.88  9.501018110670   0.5238597 8.50951902734920   3.2483133   0.7156
 2010-Mar-30 00:00       0.70   6.89  9.501622777327   0.5230571 8.51388070860352   4.3024947   0.9254
 2010-Apr-01 00:00       0.71   6.90  9.502226384956   0.5220227 8.51945578428760   5.3492778   1.1386
 2010-Apr-03 00:00       0.72   6.91  9.502828963228   0.5214404 8.52623597880327   6.3891672   1.3527
 2010-Apr-05 00:00       0.73   6.92  9.503431337433   0.5216896 8.53421310864969   7.4214981   1.5662
 2010-Apr-07 00:00       0.75   6.93  9.504034269956   0.5223812 8.54337732749140   8.4442301   1.7785
 2010-Apr-09 00:00       0.76   6.94  9.504638272907   0.5234157 8.55371647112664   9.4553748   1.9887
 2010-Apr-11 00:00       0.77   6.95  9.505243275508   0.5240488 8.56521556579249  10.4522389   2.1964
 2010-Apr-13 00:00       0.78   6.96  9.505848605609   0.5240340 8.57785675294998  11.4325577   2.4012
 2010-Apr-15 00:00       0.80   6.96  9.506453447419   0.5231591 8.59161961877066  12.3939599   2.6027
 2010-Apr-17 00:00       0.81   6.97  9.507057101625   0.5221364 8.60648131675881  13.3349114   2.8006
 2010-Apr-19 00:00       0.82   6.98  9.507659821143   0.5216091 8.62241736491587  14.2538698   2.9945
 2010-Apr-21 00:00       0.83   6.99  9.508262257573   0.5217356 8.63940135085349  15.1492065   3.1842
 2010-Apr-23 00:00       0.85   7.00  9.508865320261   0.5225358 8.65740541565008  16.0198064   3.3694
 2010-Apr-25 00:00       0.86   7.01  9.509469414988   0.5234494 8.67640036881632  16.8648310   3.5498
 2010-Apr-27 00:00       0.87   7.01  9.510074474238   0.5241748 8.69635668572006  17.6844459   3.7252
 2010-Apr-29 00:00       0.88   7.02  9.510679900298   0.5240059 8.71724506161090  18.4786815   3.8955
 2010-May-01 00:00       0.90   7.03  9.511284737464   0.5231937 8.73903652848871  19.2481334   4.0605
 2010-May-03 00:00       0.91   7.04  9.511888468401   0.5221661 8.76170251462250  19.9928152   4.2200
 2010-May-05 00:00       0.92   7.04  9.512491159485   0.5216071 8.78521420373521  20.7124490   4.3737
 2010-May-07 00:00       0.94   7.05  9.513093686370   0.5217946 8.80954229967814  21.4060917   4.5217
 2010-May-09 00:00       0.95   7.06  9.513696763911   0.5225270 8.83465593271137  22.0723285   4.6636
 2010-May-11 00:00       0.96   7.06  9.514300910247   0.5235760 8.86052261661880  22.7096676   4.7994
 2010-May-13 00:00       0.97   7.07  9.514906003944   0.5241447 8.88710770506840  23.3159566   4.9289
 2010-May-15 00:00       0.99   7.07  9.515511427334   0.5240735 8.91437444138523  23.8895928   5.0519
 2010-May-17 00:00       1.00   7.08  9.516116299982   0.5231929 8.94228420312007  24.4291519   5.1685
 2010-May-19 00:00       1.01   7.08  9.516719961487   0.5222125 8.97079745916871  24.9346968   5.2785
 2010-May-21 00:00       1.02   7.09  9.517322700970   0.5216291 8.99987531693284  25.4068630   5.3818
 2010-May-23 00:00       1.03   7.09  9.517925183912   0.5217835 9.02947989982576  25.8469035   5.4783
 2010-May-25 00:00       1.04   7.10  9.518528307454   0.5226177 9.05957486944475  26.2560387   5.5682
 2010-May-27 00:00       1.05   7.10  9.519132424511   0.5235252 9.09012484370210  26.6349237   5.6513
 2010-May-29 00:00       1.07   7.10  9.519737523406   0.5241770 9.12109528654470  26.9839953   5.7276
 2010-May-31 00:00       1.08   7.11  9.520342935661   0.5239731 9.15245154663514  27.3028413   5.7972
 2010-Jun-02 00:00       1.09   7.11  9.520947726690   0.5231966 9.18415865892052  27.5914954   5.8600
 2010-Jun-04 00:00       1.10   7.11  9.521551373574   0.5221143 9.21618161166408  27.8497454   5.9160
 2010-Jun-06 00:00       1.11   7.11  9.522154014906   0.5215580 9.24848547112892  28.0778742   5.9652
 2010-Jun-08 00:00       1.12   7.12  9.522756512008   0.5217640 9.28103532672127  28.2754559   6.0076
